IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
108.162.196.94,4,4,0.00,151.31,66.51,LAX
104.24.146.138,4,4,0.00,153.50,63.29,LAX
104.16.81.43,4,4,0.00,158.42,49.34,LAX
104.25.196.31,4,4,0.00,159.75,29.42,LAX
162.159.13.165,4,4,0.00,160.17,20.98,LAX
190.93.244.197,4,4,0.00,157.75,14.98,LAX
104.17.198.145,4,4,0.00,158.60,13.33,LAX
162.159.10.54,4,4,0.00,157.69,13.08,LAX
188.114.96.10,4,4,0.00,160.45,13.07,LAX
104.24.133.146,4,4,0.00,157.12,8.62,LAX
104.16.70.67,4,2,0.50,190.70,0.00,N/A
104.18.188.51,4,1,0.75,158.50,0.00,N/A
104.25.212.235,4,4,0.00,161.94,0.00,N/A
104.16.22.37,4,4,0.00,161.99,0.00,N/A
104.24.21.159,4,2,0.50,193.10,0.00,N/A
104.16.55.45,4,4,0.00,162.17,0.00,N/A
162.159.1.75,4,4,0.00,162.36,0.00,N/A
104.17.94.42,4,4,0.00,162.81,0.00,N/A
141.101.123.55,4,4,0.00,163.08,0.00,N/A
162.159.20.144,4,4,0.00,163.34,0.00,N/A
104.16.2.136,4,4,0.00,163.40,0.00,N/A
190.93.246.71,4,4,0.00,164.24,0.00,N/A
141.101.113.13,4,4,0.00,164.39,0.00,N/A
162.159.14.171,4,4,0.00,164.84,0.00,N/A
162.159.8.114,4,4,0.00,164.87,0.00,N/A
104.16.82.123,4,4,0.00,165.15,0.00,N/A
104.25.230.85,4,4,0.00,165.30,0.00,N/A
162.159.18.221,4,4,0.00,165.44,0.00,N/A
104.17.239.149,4,4,0.00,165.72,0.00,N/A
104.16.61.198,4,4,0.00,165.94,0.00,N/A
104.17.139.38,4,4,0.00,165.94,0.00,N/A
104.24.141.230,4,4,0.00,166.05,0.00,N/A
172.65.92.136,4,4,0.00,166.11,0.00,N/A
162.159.11.135,4,4,0.00,166.13,0.00,N/A
104.25.228.54,4,4,0.00,166.35,0.00,N/A
104.16.23.131,4,4,0.00,167.51,0.00,N/A
162.159.5.73,4,4,0.00,167.51,0.00,N/A
141.101.114.196,4,4,0.00,168.23,0.00,N/A
104.24.149.49,4,4,0.00,168.34,0.00,N/A
104.19.0.73,4,4,0.00,168.79,0.00,N/A
104.16.5.132,4,4,0.00,168.86,0.00,N/A
162.159.19.48,4,4,0.00,168.89,0.00,N/A
108.162.195.153,4,4,0.00,168.93,0.00,N/A
162.159.6.184,4,4,0.00,169.02,0.00,N/A
162.159.4.161,4,4,0.00,169.15,0.00,N/A
141.101.115.243,4,4,0.00,169.38,0.00,N/A
190.93.245.226,4,4,0.00,169.52,0.00,N/A
104.19.30.113,4,4,0.00,169.70,0.00,N/A
104.16.58.39,4,4,0.00,169.78,0.00,N/A
162.159.23.243,4,4,0.00,169.85,0.00,N/A
104.16.83.247,4,4,0.00,170.40,0.00,N/A
104.16.19.120,4,4,0.00,170.50,0.00,N/A
108.162.192.21,4,4,0.00,170.64,0.00,N/A
141.101.90.12,4,4,0.00,170.96,0.00,N/A
108.162.198.243,4,4,0.00,171.30,0.00,N/A
141.101.120.213,4,4,0.00,171.55,0.00,N/A
104.17.138.237,4,4,0.00,171.91,0.00,N/A
162.159.2.172,4,4,0.00,172.37,0.00,N/A
104.16.6.144,4,4,0.00,172.56,0.00,N/A
188.114.99.252,4,4,0.00,172.78,0.00,N/A
188.114.98.182,4,4,0.00,173.65,0.00,N/A
162.159.21.100,4,4,0.00,173.67,0.00,N/A
104.16.1.126,4,4,0.00,173.80,0.00,N/A
162.159.16.121,4,4,0.00,173.84,0.00,N/A
104.17.88.114,4,4,0.00,174.75,0.00,N/A
104.16.37.151,4,4,0.00,175.30,0.00,N/A
162.159.9.73,4,4,0.00,175.64,0.00,N/A
162.159.15.229,4,4,0.00,175.74,0.00,N/A
162.159.17.156,4,4,0.00,175.74,0.00,N/A
104.24.148.187,4,4,0.00,175.78,0.00,N/A
104.27.59.41,4,4,0.00,176.09,0.00,N/A
104.17.89.223,4,4,0.00,176.12,0.00,N/A
104.16.38.18,4,4,0.00,176.18,0.00,N/A
104.18.1.222,4,4,0.00,176.26,0.00,N/A
104.24.132.70,4,4,0.00,176.32,0.00,N/A
162.159.252.216,4,4,0.00,176.87,0.00,N/A
162.159.3.205,4,4,0.00,176.91,0.00,N/A
190.93.247.254,4,4,0.00,176.98,0.00,N/A
104.16.86.60,4,4,0.00,177.15,0.00,N/A
162.159.22.51,4,4,0.00,177.15,0.00,N/A
104.16.41.253,4,4,0.00,177.87,0.00,N/A
104.17.126.93,4,4,0.00,180.63,0.00,N/A
104.16.63.47,4,4,0.00,180.77,0.00,N/A
104.17.141.133,4,4,0.00,180.92,0.00,N/A
162.159.7.179,4,4,0.00,181.21,0.00,N/A
104.17.87.20,4,4,0.00,181.26,0.00,N/A
104.16.56.11,4,4,0.00,181.94,0.00,N/A
104.19.11.41,4,4,0.00,182.75,0.00,N/A
162.159.0.232,4,4,0.00,183.21,0.00,N/A
104.16.40.186,4,4,0.00,185.74,0.00,N/A
104.24.150.28,4,4,0.00,185.77,0.00,N/A
104.16.35.3,4,4,0.00,186.16,0.00,N/A
104.25.219.117,4,4,0.00,186.19,0.00,N/A
104.24.139.112,4,4,0.00,189.59,0.00,N/A
108.162.194.33,4,4,0.00,190.35,0.00,N/A
141.101.122.141,4,4,0.00,192.51,0.00,N/A
104.25.220.38,4,4,0.00,193.26,0.00,N/A
104.16.80.208,4,4,0.00,193.43,0.00,N/A
173.245.58.139,4,4,0.00,193.94,0.00,N/A
141.101.121.102,4,4,0.00,194.20,0.00,N/A
173.245.49.197,4,4,0.00,194.51,0.00,N/A
188.114.97.242,4,4,0.00,196.00,0.00,N/A
103.31.4.252,4,4,0.00,208.17,0.00,N/A
104.24.131.56,4,3,0.25,152.22,0.00,N/A
104.24.12.125,4,3,0.25,152.45,0.00,N/A
104.24.81.147,4,3,0.25,153.11,0.00,N/A
104.24.15.15,4,3,0.25,154.54,0.00,N/A
104.24.71.239,4,3,0.25,154.82,0.00,N/A
104.17.171.80,4,3,0.25,156.31,0.00,N/A
104.25.163.206,4,3,0.25,156.32,0.00,N/A
104.25.200.58,4,3,0.25,156.78,0.00,N/A
104.27.68.38,4,3,0.25,156.85,0.00,N/A
104.24.66.101,4,3,0.25,157.27,0.00,N/A
104.17.110.200,4,3,0.25,157.53,0.00,N/A
104.17.95.173,4,3,0.25,157.78,0.00,N/A
162.159.199.142,4,3,0.25,158.12,0.00,N/A
104.20.36.228,4,3,0.25,158.48,0.00,N/A
